codigo_postal,nombre_entidad_singular,municipio_id,nombre
00005,GIRONA,17079,Girona
00043,POBLA DE MASSALUCA (LA),43110,"Pobla de Massaluca, La"
00045,GAMONAL,45165,Talavera de la Reina
00298,PINSEQUE,50209,Pinseque
00548,CANDELEDA,05047,Candeleda
01001,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01002,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01003,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01004,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01005,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01006,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01007,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01008,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01009,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01010,ASTEGUIETA,01059,Vitoria-Gasteiz
01012,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01013,GAMARRA MAYOR/GAMARRA NAG,01059,Vitoria-Gasteiz
01015,VITORIA-GASTEIZ,01059,Vitoria-Gasteiz
01110,SANTA CRUZ DE CAMPEZO/SAN,01017,Campezo/Kanpezu
01117,ULLIBARRI-ARANA/URIBARRI-,01056,Harana/Valle de Arana
01118,OBECURI,09109,Condado de Treviño
01120,MAEZTU/MAESTU,01037,Arraia-Maeztu
01128,AZAZETA,01037,Arraia-Maeztu
01129,VIRGALA MENOR,01037,Arraia-Maeztu
01130,MURGIA,01063,Zuia
01138,DISEMINADOS DE ZIGOITIA,01018,Zigoitia
01139,ZARATE,01063,Zuia
01160,IBARRA,01003,Aramaio
01165,OLETA,01003,Aramaio
01169,URIBARRI,01003,Aramaio
01170,LEGUTIO,01058,Legutio
01171,GOIAIN,01058,Legutio
01191,TRESPUENTES,01901,Iruña Oka/Iruña de Oca
01192,OREITIA,01059,Vitoria-Gasteiz
01193,VILLAFRANCA,01059,Vitoria-Gasteiz
01194,MONASTERIOGUREN,01059,Vitoria-Gasteiz
01195,VILLODAS/BILLODA,01901,Iruña Oka/Iruña de Oca
01196,YURRE/IHURRE,01059,Vitoria-Gasteiz
01200,AGURAIN/SALVATIERRA,01051,Salvatierra/Agurain
01206,LANGARIKA,01027,Iruraiz-Gauna
01207,BIKUÑA/VICUÑA,01053,San Millán/Donemiliaga
01208,ZALDUONDO,01061,Zalduondo
01211,MORAZA,09109,Condado de Treviño
01212,ZAMBRANA,01062,Zambrana
01213,ZUBILLAGA,01902,Lantarón
01216,FAIDO/FAIDU,01044,Peñacerrada-Urizaharra
01220,RIVAGUDA,01047,Ribera Baja/Erribera Beitia
01230,NANCLARES DE LA OCA/LANGR,01901,Iruña Oka/Iruña de Oca
01240,ALEGRIA-DULANTZI,01001,Alegría-Dulantzi
01250,ARRIOLA,01009,Asparrena
01260,URABAIN,01009,Asparrena
01300,LAGUARDIA,01031,Laguardia
